Point	X	Y	Z
1802	0.041 cm	0.348 cm	0.14 cm
1803	0.039 cm	0.349 cm	0.136 cm
1804	0.04 cm	0.347 cm	0.137 cm
1805	0.038 cm	0.347 cm	0.134 cm
1806	0.039 cm	0.345 cm	0.135 cm
1807	0.039 cm	0.342 cm	0.134 cm
1808	0.04 cm	0.34 cm	0.135 cm
1809	0.04 cm	0.342 cm	0.136 cm
1810	0.039 cm	0.339 cm	0.132 cm
1811	0.041 cm	0.337 cm	0.134 cm
1812	0.04 cm	0.337 cm	0.131 cm
1813	0.041 cm	0.335 cm	0.132 cm
1814	0.042 cm	0.333 cm	0.131 cm
1815	0.043 cm	0.331 cm	0.132 cm
1816	0.042 cm	0.333 cm	0.134 cm
1817	0.044 cm	0.33 cm	0.133 cm
1818	0.044 cm	0.331 cm	0.135 cm
1819	0.046 cm	0.328 cm	0.134 cm
1820	0.045 cm	0.33 cm	0.136 cm
1821	0.048 cm	0.327 cm	0.135 cm
1822	0.047 cm	0.328 cm	0.137 cm
1823	0.049 cm	0.325 cm	0.136 cm
1824	0.049 cm	0.326 cm	0.138 cm
1825	0.051 cm	0.324 cm	0.137 cm
1826	0.051 cm	0.325 cm	0.138 cm
1827	0.051 cm	0.323 cm	0.135 cm
1828	0.053 cm	0.321 cm	0.136 cm
1829	0.053 cm	0.322 cm	0.137 cm
1830	0.052 cm	0.322 cm	0.133 cm
1831	0.053 cm	0.32 cm	0.134 cm
1832	0.055 cm	0.319 cm	0.134 cm
1833	0.054 cm	0.32 cm	0.136 cm
1834	0.109 cm	0.365 cm	0.119 cm
1835	0.11 cm	0.363 cm	0.118 cm
1836	0.109 cm	0.363 cm	0.117 cm
1837	0.108 cm	0.364 cm	0.118 cm
1838	0.107 cm	0.366 cm	0.119 cm
1839	0.108 cm	0.366 cm	0.121 cm
1840	0.109 cm	0.366 cm	0.122 cm
1841	0.11 cm	0.364 cm	0.121 cm
1842	0.107 cm	0.367 cm	0.123 cm
1843	0.108 cm	0.366 cm	0.125 cm
1844	0.109 cm	0.365 cm	0.124 cm
1845	0.107 cm	0.368 cm	0.126 cm
1846	0.107 cm	0.367 cm	0.128 cm
1847	0.108 cm	0.365 cm	0.127 cm
1848	0.105 cm	0.368 cm	0.129 cm
1849	0.105 cm	0.367 cm	0.131 cm
1850	0.107 cm	0.365 cm	0.13 cm
1851	0.104 cm	0.369 cm	0.131 cm
1852	0.104 cm	0.367 cm	0.133 cm
1853	0.105 cm	0.365 cm	0.132 cm
1854	0.102 cm	0.369 cm	0.134 cm
1855	0.102 cm	0.367 cm	0.135 cm
1856	0.103 cm	0.365 cm	0.134 cm
1857	0.1 cm	0.369 cm	0.136 cm
1858	0.1 cm	0.367 cm	0.137 cm
1859	0.102 cm	0.366 cm	0.137 cm
1860	0.098 cm	0.369 cm	0.138 cm
1861	0.098 cm	0.367 cm	0.139 cm
1862	0.1 cm	0.366 cm	0.139 cm
1863	0.096 cm	0.369 cm	0.14 cm
1864	0.096 cm	0.367 cm	0.141 cm
1865	0.098 cm	0.366 cm	0.141 cm
1866	0.094 cm	0.369 cm	0.142 cm
1867	0.094 cm	0.367 cm	0.143 cm
1868	0.095 cm	0.366 cm	0.142 cm
1869	0.092 cm	0.369 cm	0.144 cm
1870	0.091 cm	0.367 cm	0.145 cm
1871	0.093 cm	0.365 cm	0.144 cm
1872	0.089 cm	0.369 cm	0.146 cm
1873	0.089 cm	0.367 cm	0.147 cm
1874	0.091 cm	0.365 cm	0.146 cm
1875	0.087 cm	0.368 cm	0.148 cm
1876	0.087 cm	0.367 cm	0.148 cm
1877	0.089 cm	0.365 cm	0.147 cm
1878	0.085 cm	0.367 cm	0.149 cm
1879	0.083 cm	0.366 cm	0.15 cm
1880	0.084 cm	0.364 cm	0.151 cm
1881	0.081 cm	0.365 cm	0.151 cm
1882	0.082 cm	0.362 cm	0.151 cm
1883	0.08 cm	0.364 cm	0.152 cm
1884	0.081 cm	0.361 cm	0.152 cm
1885	0.079 cm	0.366 cm	0.151 cm
1886	0.077 cm	0.365 cm	0.152 cm
1887	0.078 cm	0.362 cm	0.152 cm
1888	0.076 cm	0.364 cm	0.152 cm
1889	0.077 cm	0.361 cm	0.153 cm
1890	0.074 cm	0.363 cm	0.153 cm
1891	0.075 cm	0.36 cm	0.153 cm
1892	0.073 cm	0.366 cm	0.152 cm
1893	0.071 cm	0.364 cm	0.153 cm
1894	0.072 cm	0.361 cm	0.153 cm
1895	0.07 cm	0.367 cm	0.152 cm
1896	0.068 cm	0.366 cm	0.152 cm
1897	0.069 cm	0.363 cm	0.153 cm
1898	0.066 cm	0.364 cm	0.152 cm
1899	0.067 cm	0.361 cm	0.153 cm
1900	0.064 cm	0.363 cm	0.152 cm
1901	0.065 cm	0.36 cm	0.153 cm
1902	0.062 cm	0.361 cm	0.152 cm
1903	0.063 cm	0.358 cm	0.152 cm
1904	0.06 cm	0.359 cm	0.152 cm
1905	0.061 cm	0.356 cm	0.152 cm
1906	0.057 cm	0.357 cm	0.151 cm
1907	0.058 cm	0.355 cm	0.151 cm
1908	0.055 cm	0.356 cm	0.151 cm
1909	0.056 cm	0.353 cm	0.151 cm
1910	0.053 cm	0.354 cm	0.15 cm
1911	0.054 cm	0.351 cm	0.15 cm
1912	0.05 cm	0.352 cm	0.149 cm
1913	0.052 cm	0.349 cm	0.149 cm
1914	0.048 cm	0.35 cm	0.147 cm
1915	0.049 cm	0.347 cm	0.147 cm
1916	0.046 cm	0.349 cm	0.145 cm
1917	0.047 cm	0.346 cm	0.145 cm
1918	0.044 cm	0.347 cm	0.143 cm
1919	0.045 cm	0.344 cm	0.143 cm
1920	0.042 cm	0.345 cm	0.14 cm
1921	0.043 cm	0.343 cm	0.141 cm
1922	0.041 cm	0.344 cm	0.138 cm
1923	0.042 cm	0.341 cm	0.139 cm
1924	0.042 cm	0.339 cm	0.138 cm
1925	0.043 cm	0.337 cm	0.139 cm
1926	0.044 cm	0.339 cm	0.141 cm
1927	0.042 cm	0.337 cm	0.137 cm
1928	0.043 cm	0.335 cm	0.138 cm
1929	0.042 cm	0.335 cm	0.135 cm
1930	0.043 cm	0.333 cm	0.136 cm
1931	0.045 cm	0.331 cm	0.138 cm
1932	0.045 cm	0.333 cm	0.139 cm
1933	0.047 cm	0.33 cm	0.139 cm
1934	0.047 cm	0.331 cm	0.14 cm
1935	0.049 cm	0.328 cm	0.139 cm
1936	0.049 cm	0.329 cm	0.141 cm
1937	0.051 cm	0.326 cm	0.14 cm
1938	0.051 cm	0.327 cm	0.142 cm
1939	0.053 cm	0.324 cm	0.141 cm
1940	0.053 cm	0.325 cm	0.142 cm
1941	0.052 cm	0.323 cm	0.139 cm
1942	0.054 cm	0.321 cm	0.14 cm
1943	0.054 cm	0.322 cm	0.141 cm
1944	0.054 cm	0.32 cm	0.138 cm
1945	0.056 cm	0.319 cm	0.138 cm
1946	0.056 cm	0.319 cm	0.14 cm
1947	0.056 cm	0.318 cm	0.136 cm
1948	0.058 cm	0.316 cm	0.137 cm
1949	0.058 cm	0.317 cm	0.138 cm
1950	0.056 cm	0.317 cm	0.134 cm
1951	0.058 cm	0.316 cm	0.135 cm
1952	0.059 cm	0.314 cm	0.135 cm
1953	0.059 cm	0.314 cm	0.137 cm
1954	0.113 cm	0.36 cm	0.116 cm
1955	0.114 cm	0.359 cm	0.114 cm
1956	0.112 cm	0.358 cm	0.113 cm
1957	0.111 cm	0.36 cm	0.114 cm
1958	0.11 cm	0.362 cm	0.115 cm
1959	0.111 cm	0.362 cm	0.117 cm
1960	0.112 cm	0.361 cm	0.119 cm
1961	0.114 cm	0.36 cm	0.117 cm
1962	0.111 cm	0.363 cm	0.12 cm
1963	0.112 cm	0.362 cm	0.122 cm
1964	0.113 cm	0.361 cm	0.12 cm
1965	0.111 cm	0.363 cm	0.123 cm
1966	0.111 cm	0.362 cm	0.125 cm
1967	0.112 cm	0.361 cm	0.123 cm
1968	0.11 cm	0.364 cm	0.126 cm
1969	0.11 cm	0.362 cm	0.127 cm
1970	0.111 cm	0.361 cm	0.126 cm
1971	0.108 cm	0.364 cm	0.129 cm
1972	0.108 cm	0.362 cm	0.13 cm
1973	0.11 cm	0.361 cm	0.129 cm
1974	0.107 cm	0.364 cm	0.131 cm
1975	0.107 cm	0.362 cm	0.132 cm
1976	0.108 cm	0.361 cm	0.131 cm
1977	0.105 cm	0.364 cm	0.133 cm
1978	0.105 cm	0.362 cm	0.135 cm
1979	0.106 cm	0.361 cm	0.134 cm
1980	0.103 cm	0.364 cm	0.136 cm
1981	0.103 cm	0.362 cm	0.137 cm
1982	0.104 cm	0.361 cm	0.136 cm
1983	0.101 cm	0.364 cm	0.138 cm
1984	0.101 cm	0.362 cm	0.139 cm
1985	0.102 cm	0.36 cm	0.138 cm
1986	0.099 cm	0.364 cm	0.14 cm
1987	0.099 cm	0.362 cm	0.141 cm
1988	0.1 cm	0.36 cm	0.14 cm
1989	0.097 cm	0.364 cm	0.142 cm
1990	0.096 cm	0.362 cm	0.143 cm
1991	0.098 cm	0.36 cm	0.142 cm
1992	0.095 cm	0.364 cm	0.143 cm
1993	0.094 cm	0.362 cm	0.144 cm
1994	0.096 cm	0.36 cm	0.144 cm
1995	0.093 cm	0.363 cm	0.145 cm
1996	0.092 cm	0.362 cm	0.146 cm
1997	0.094 cm	0.36 cm	0.145 cm
1998	0.091 cm	0.363 cm	0.147 cm
1999	0.09 cm	0.362 cm	0.148 cm
2000	0.092 cm	0.36 cm	0.147 cm
2001	0.089 cm	0.36 cm	0.148 cm
2002	0.091 cm	0.358 cm	0.148 cm
2003	0.088 cm	0.358 cm	0.149 cm
2004	0.09 cm	0.356 cm	0.149 cm
2005	0.087 cm	0.357 cm	0.15 cm
2006	0.089 cm	0.354 cm	0.149 cm
2007	0.086 cm	0.359 cm	0.15 cm
2008	0.085 cm	0.361 cm	0.151 cm
2009	0.085 cm	0.357 cm	0.151 cm
2010	0.086 cm	0.355 cm	0.151 cm
2011	0.083 cm	0.36 cm	0.151 cm
2012	0.082 cm	0.358 cm	0.152 cm
2013	0.083 cm	0.356 cm	0.151 cm
2014	0.08 cm	0.357 cm	0.152 cm
2015	0.082 cm	0.354 cm	0.152 cm
2016	0.079 cm	0.36 cm	0.152 cm
2017	0.078 cm	0.358 cm	0.153 cm
2018	0.079 cm	0.355 cm	0.152 cm
2019	0.076 cm	0.357 cm	0.153 cm
2020	0.077 cm	0.354 cm	0.153 cm
2021	0.074 cm	0.356 cm	0.153 cm
2022	0.075 cm	0.353 cm	0.153 cm
2023	0.073 cm	0.358 cm	0.153 cm
2024	0.071 cm	0.357 cm	0.153 cm
2025	0.072 cm	0.354 cm	0.153 cm
2026	0.07 cm	0.36 cm	0.153 cm
2027	0.068 cm	0.359 cm	0.153 cm
2028	0.069 cm	0.356 cm	0.153 cm
2029	0.066 cm	0.357 cm	0.153 cm
2030	0.067 cm	0.354 cm	0.153 cm
2031	0.064 cm	0.355 cm	0.152 cm
2032	0.065 cm	0.353 cm	0.152 cm
2033	0.062 cm	0.354 cm	0.152 cm
2034	0.063 cm	0.351 cm	0.152 cm
2035	0.059 cm	0.352 cm	0.152 cm
2036	0.061 cm	0.349 cm	0.152 cm
2037	0.057 cm	0.35 cm	0.151 cm
2038	0.059 cm	0.347 cm	0.151 cm
2039	0.055 cm	0.348 cm	0.15 cm
2040	0.056 cm	0.346 cm	0.15 cm
2041	0.053 cm	0.347 cm	0.149 cm
2042	0.054 cm	0.344 cm	0.149 cm
2043	0.051 cm	0.345 cm	0.148 cm
2044	0.052 cm	0.343 cm	0.148 cm
2045	0.048 cm	0.343 cm	0.146 cm
2046	0.05 cm	0.341 cm	0.147 cm
2047	0.046 cm	0.342 cm	0.144 cm
2048	0.048 cm	0.34 cm	0.145 cm
2049	0.045 cm	0.34 cm	0.142 cm
2050	0.047 cm	0.338 cm	0.143 cm
2051	0.046 cm	0.336 cm	0.142 cm
2052	0.048 cm	0.334 cm	0.143 cm
2053	0.049 cm	0.336 cm	0.144 cm
2054	0.045 cm	0.335 cm	0.141 cm
2055	0.047 cm	0.333 cm	0.142 cm
2056	0.049 cm	0.331 cm	0.142 cm
2057	0.05 cm	0.332 cm	0.144 cm
2058	0.051 cm	0.329 cm	0.143 cm
2059	0.052 cm	0.33 cm	0.144 cm
2060	0.053 cm	0.327 cm	0.144 cm
2061	0.054 cm	0.328 cm	0.145 cm
2062	0.055 cm	0.324 cm	0.144 cm
2063	0.056 cm	0.326 cm	0.146 cm
2064	0.055 cm	0.323 cm	0.143 cm
2065	0.057 cm	0.321 cm	0.143 cm
2066	0.057 cm	0.322 cm	0.145 cm
2067	0.056 cm	0.32 cm	0.142 cm
2068	0.058 cm	0.318 cm	0.142 cm
2069	0.058 cm	0.319 cm	0.143 cm
2070	0.058 cm	0.317 cm	0.14 cm
2071	0.059 cm	0.315 cm	0.14 cm
2072	0.06 cm	0.316 cm	0.142 cm
2073	0.059 cm	0.315 cm	0.139 cm
2074	0.061 cm	0.313 cm	0.139 cm
2075	0.061 cm	0.313 cm	0.14 cm
2076	0.061 cm	0.312 cm	0.137 cm
2077	0.062 cm	0.31 cm	0.137 cm
2078	0.062 cm	0.311 cm	0.138 cm
2079	0.061 cm	0.312 cm	0.135 cm
2080	0.062 cm	0.31 cm	0.135 cm
2081	0.064 cm	0.308 cm	0.134 cm
2082	0.064 cm	0.309 cm	0.136 cm
2083	0.116 cm	0.355 cm	0.112 cm
2084	0.116 cm	0.353 cm	0.111 cm
2085	0.115 cm	0.354 cm	0.109 cm
2086	0.114 cm	0.355 cm	0.111 cm
2087	0.113 cm	0.357 cm	0.112 cm
2088	0.115 cm	0.357 cm	0.113 cm
2089	0.116 cm	0.357 cm	0.115 cm
2090	0.117 cm	0.355 cm	0.113 cm
2091	0.115 cm	0.358 cm	0.116 cm
2092	0.115 cm	0.357 cm	0.118 cm
2093	0.116 cm	0.356 cm	0.116 cm
2094	0.114 cm	0.359 cm	0.119 cm
2095	0.115 cm	0.358 cm	0.12 cm
2096	0.116 cm	0.356 cm	0.119 cm
2097	0.113 cm	0.359 cm	0.122 cm
2098	0.113 cm	0.358 cm	0.123 cm
2099	0.114 cm	0.356 cm	0.122 cm
2100	0.112 cm	0.359 cm	0.125 cm
2101	0.112 cm	0.358 cm	0.126 cm
2102	0.113 cm	0.356 cm	0.125 cm
2103	0.111 cm	0.359 cm	0.128 cm
2104	0.111 cm	0.358 cm	0.129 cm
2105	0.112 cm	0.356 cm	0.128 cm
2106	0.109 cm	0.359 cm	0.13 cm
2107	0.109 cm	0.357 cm	0.131 cm
2108	0.11 cm	0.356 cm	0.13 cm
2109	0.108 cm	0.359 cm	0.133 cm
2110	0.107 cm	0.357 cm	0.134 cm
2111	0.108 cm	0.356 cm	0.133 cm
2112	0.106 cm	0.359 cm	0.135 cm
2113	0.105 cm	0.357 cm	0.136 cm
2114	0.107 cm	0.356 cm	0.135 cm
2115	0.104 cm	0.359 cm	0.137 cm
2116	0.103 cm	0.357 cm	0.138 cm
2117	0.105 cm	0.355 cm	0.137 cm
2118	0.102 cm	0.359 cm	0.139 cm
2119	0.101 cm	0.357 cm	0.14 cm
2120	0.103 cm	0.355 cm	0.139 cm
2121	0.1 cm	0.358 cm	0.141 cm
2122	0.099 cm	0.356 cm	0.142 cm
2123	0.1 cm	0.355 cm	0.141 cm
2124	0.097 cm	0.358 cm	0.143 cm
2125	0.097 cm	0.356 cm	0.144 cm
2126	0.098 cm	0.355 cm	0.143 cm
2127	0.095 cm	0.358 cm	0.145 cm
2128	0.095 cm	0.356 cm	0.146 cm
2129	0.096 cm	0.354 cm	0.145 cm
2130	0.093 cm	0.358 cm	0.146 cm
2131	0.092 cm	0.356 cm	0.147 cm
2132	0.094 cm	0.354 cm	0.147 cm
2133	0.091 cm	0.354 cm	0.148 cm
2134	0.093 cm	0.352 cm	0.148 cm
2135	0.09 cm	0.352 cm	0.149 cm
2136	0.091 cm	0.35 cm	0.148 cm
2137	0.089 cm	0.35 cm	0.15 cm
2138	0.09 cm	0.348 cm	0.149 cm
2139	0.087 cm	0.353 cm	0.15 cm
2140	0.086 cm	0.351 cm	0.151 cm
2141	0.087 cm	0.349 cm	0.15 cm
2142	0.084 cm	0.353 cm	0.151 cm
2143	0.083 cm	0.352 cm	0.151 cm
2144	0.084 cm	0.349 cm	0.151 cm
2145	0.081 cm	0.35 cm	0.152 cm
2146	0.082 cm	0.348 cm	0.151 cm
2147	0.08 cm	0.353 cm	0.152 cm
2148	0.078 cm	0.351 cm	0.152 cm
2149	0.079 cm	0.349 cm	0.152 cm
2150	0.076 cm	0.35 cm	0.153 cm
2151	0.078 cm	0.348 cm	0.152 cm
2152	0.074 cm	0.349 cm	0.153 cm
2153	0.076 cm	0.346 cm	0.153 cm
2154	0.073 cm	0.352 cm	0.153 cm
2155	0.071 cm	0.35 cm	0.153 cm
2156	0.072 cm	0.348 cm	0.153 cm
2157	0.07 cm	0.353 cm	0.153 cm
2158	0.068 cm	0.351 cm	0.153 cm
2159	0.069 cm	0.349 cm	0.153 cm
2160	0.066 cm	0.35 cm	0.153 cm
2161	0.067 cm	0.347 cm	0.153 cm
2162	0.064 cm	0.348 cm	0.152 cm
2163	0.065 cm	0.346 cm	0.152 cm
2164	0.062 cm	0.347 cm	0.152 cm
2165	0.063 cm	0.344 cm	0.152 cm
2166	0.06 cm	0.345 cm	0.151 cm
2167	0.061 cm	0.343 cm	0.151 cm
2168	0.058 cm	0.343 cm	0.15 cm
2169	0.059 cm	0.341 cm	0.15 cm
2170	0.056 cm	0.342 cm	0.149 cm
2171	0.057 cm	0.339 cm	0.15 cm
2172	0.054 cm	0.34 cm	0.148 cm
2173	0.055 cm	0.338 cm	0.149 cm
2174	0.052 cm	0.339 cm	0.147 cm
2175	0.054 cm	0.337 cm	0.148 cm
2176	0.05 cm	0.337 cm	0.146 cm
2177	0.052 cm	0.335 cm	0.146 cm
2178	0.051 cm	0.334 cm	0.145 cm
2179	0.053 cm	0.331 cm	0.146 cm
2180	0.054 cm	0.333 cm	0.147 cm
2181	0.055 cm	0.329 cm	0.146 cm
2182	0.056 cm	0.331 cm	0.147 cm
2183	0.057 cm	0.327 cm	0.147 cm
2184	0.058 cm	0.328 cm	0.148 cm
2185	0.059 cm	0.325 cm	0.147 cm
2186	0.06 cm	0.326 cm	0.148 cm
2187	0.058 cm	0.323 cm	0.146 cm
2188	0.06 cm	0.321 cm	0.146 cm
2189	0.061 cm	0.322 cm	0.147 cm
2190	0.059 cm	0.32 cm	0.145 cm
2191	0.061 cm	0.318 cm	0.145 cm
2192	0.062 cm	0.319 cm	0.146 cm
2193	0.06 cm	0.317 cm	0.143 cm
2194	0.062 cm	0.315 cm	0.143 cm
2195	0.063 cm	0.315 cm	0.145 cm
2196	0.061 cm	0.314 cm	0.142 cm
2197	0.063 cm	0.312 cm	0.142 cm
2198	0.064 cm	0.312 cm	0.143 cm
2199	0.063 cm	0.311 cm	0.14 cm
2200	0.065 cm	0.309 cm	0.14 cm
2201	0.065 cm	0.31 cm	0.141 cm
2202	0.064 cm	0.309 cm	0.138 cm
2203	0.066 cm	0.307 cm	0.138 cm
2204	0.066 cm	0.307 cm	0.139 cm
2205	0.065 cm	0.307 cm	0.136 cm
2206	0.067 cm	0.304 cm	0.136 cm
2207	0.067 cm	0.305 cm	0.137 cm
2208	0.065 cm	0.306 cm	0.134 cm
2209	0.066 cm	0.304 cm	0.134 cm
2210	0.068 cm	0.302 cm	0.135 cm
2211	0.069 cm	0.302 cm	0.137 cm
2212	0.068 cm	0.302 cm	0.133 cm
2213	0.07 cm	0.3 cm	0.134 cm
2214	0.07 cm	0.3 cm	0.136 cm
2215	0.069 cm	0.3 cm	0.133 cm
2216	0.071 cm	0.297 cm	0.133 cm
2217	0.072 cm	0.297 cm	0.135 cm
2218	0.071 cm	0.298 cm	0.132 cm
2219	0.073 cm	0.295 cm	0.132 cm
2220	0.074 cm	0.295 cm	0.134 cm
2221	0.073 cm	0.296 cm	0.13 cm
2222	0.075 cm	0.293 cm	0.131 cm
2223	0.076 cm	0.293 cm	0.132 cm
2224	0.075 cm	0.294 cm	0.129 cm
2225	0.078 cm	0.291 cm	0.129 cm
2226	0.078 cm	0.291 cm	0.13 cm
2227	0.077 cm	0.292 cm	0.128 cm
2228	0.08 cm	0.29 cm	0.127 cm
2229	0.081 cm	0.289 cm	0.129 cm
2230	0.079 cm	0.291 cm	0.126 cm
2231	0.082 cm	0.289 cm	0.125 cm
2232	0.083 cm	0.288 cm	0.127 cm
2233	0.081 cm	0.29 cm	0.124 cm
2234	0.084 cm	0.288 cm	0.123 cm
2235	0.085 cm	0.288 cm	0.125 cm
2236	0.083 cm	0.289 cm	0.122 cm
2237	0.086 cm	0.288 cm	0.121 cm
2238	0.087 cm	0.287 cm	0.123 cm
2239	0.085 cm	0.288 cm	0.12 cm
2240	0.086 cm	0.288 cm	0.118 cm
2241	0.088 cm	0.287 cm	0.119 cm
2242	0.118 cm	0.35 cm	0.108 cm
2243	0.119 cm	0.348 cm	0.107 cm
2244	0.117 cm	0.348 cm	0.106 cm
2245	0.117 cm	0.35 cm	0.107 cm
2246	0.116 cm	0.352 cm	0.108 cm
2247	0.117 cm	0.352 cm	0.11 cm
2248	0.118 cm	0.351 cm	0.111 cm
2249	0.119 cm	0.349 cm	0.11 cm
2250	0.117 cm	0.353 cm	0.112 cm
2251	0.118 cm	0.352 cm	0.114 cm
2252	0.119 cm	0.35 cm	0.113 cm
2253	0.117 cm	0.354 cm	0.115 cm
2254	0.117 cm	0.353 cm	0.117 cm
2255	0.118 cm	0.351 cm	0.115 cm
2256	0.117 cm	0.354 cm	0.118 cm
2257	0.116 cm	0.353 cm	0.119 cm
2258	0.117 cm	0.351 cm	0.118 cm
2259	0.115 cm	0.355 cm	0.121 cm
2260	0.115 cm	0.353 cm	0.122 cm
2261	0.116 cm	0.351 cm	0.121 cm
2262	0.114 cm	0.355 cm	0.123 cm
2263	0.114 cm	0.353 cm	0.125 cm
2264	0.115 cm	0.351 cm	0.123 cm
2265	0.113 cm	0.354 cm	0.126 cm
2266	0.112 cm	0.353 cm	0.127 cm
2267	0.113 cm	0.351 cm	0.126 cm
2268	0.111 cm	0.354 cm	0.129 cm
2269	0.111 cm	0.353 cm	0.13 cm
2270	0.112 cm	0.351 cm	0.129 cm
2271	0.11 cm	0.354 cm	0.131 cm
2272	0.109 cm	0.352 cm	0.132 cm
2273	0.11 cm	0.351 cm	0.131 cm
2274	0.108 cm	0.354 cm	0.134 cm
2275	0.107 cm	0.352 cm	0.135 cm
2276	0.108 cm	0.351 cm	0.134 cm
2277	0.106 cm	0.354 cm	0.136 cm
2278	0.105 cm	0.352 cm	0.137 cm
2279	0.107 cm	0.35 cm	0.136 cm
2280	0.104 cm	0.353 cm	0.138 cm
2281	0.103 cm	0.352 cm	0.139 cm
2282	0.105 cm	0.35 cm	0.138 cm
2283	0.102 cm	0.353 cm	0.14 cm
2284	0.101 cm	0.351 cm	0.141 cm
2285	0.102 cm	0.35 cm	0.14 cm
2286	0.1 cm	0.353 cm	0.142 cm
2287	0.099 cm	0.351 cm	0.143 cm
2288	0.1 cm	0.349 cm	0.143 cm
2289	0.097 cm	0.353 cm	0.144 cm
2290	0.096 cm	0.351 cm	0.145 cm
2291	0.098 cm	0.349 cm	0.144 cm
2292	0.095 cm	0.352 cm	0.146 cm
2293	0.094 cm	0.35 cm	0.147 cm
2294	0.095 cm	0.349 cm	0.146 cm
2295	0.093 cm	0.348 cm	0.148 cm
2296	0.094 cm	0.347 cm	0.147 cm
2297	0.091 cm	0.347 cm	0.148 cm
2298	0.093 cm	0.345 cm	0.148 cm
2299	0.09 cm	0.345 cm	0.149 cm
2300	0.091 cm	0.343 cm	0.148 cm
2301	0.088 cm	0.347 cm	0.15 cm
2302	0.087 cm	0.345 cm	0.15 cm
2303	0.088 cm	0.343 cm	0.149 cm
2304	0.085 cm	0.347 cm	0.15 cm
2305	0.084 cm	0.346 cm	0.151 cm
2306	0.085 cm	0.343 cm	0.15 cm
2307	0.082 cm	0.344 cm	0.151 cm
2308	0.084 cm	0.342 cm	0.151 cm
2309	0.081 cm	0.347 cm	0.152 cm
2310	0.079 cm	0.345 cm	0.152 cm
2311	0.08 cm	0.343 cm	0.152 cm
2312	0.077 cm	0.344 cm	0.152 cm
2313	0.079 cm	0.341 cm	0.152 cm
2314	0.075 cm	0.342 cm	0.153 cm
2315	0.077 cm	0.34 cm	0.152 cm
2316	0.074 cm	0.345 cm	0.153 cm
2317	0.072 cm	0.344 cm	0.153 cm
2318	0.073 cm	0.341 cm	0.153 cm
2319	0.07 cm	0.346 cm	0.153 cm
2320	0.069 cm	0.345 cm	0.153 cm
2321	0.07 cm	0.342 cm	0.153 cm
2322	0.067 cm	0.343 cm	0.152 cm
2323	0.068 cm	0.341 cm	0.152 cm
2324	0.065 cm	0.342 cm	0.152 cm
2325	0.066 cm	0.339 cm	0.152 cm
2326	0.063 cm	0.34 cm	0.151 cm
2327	0.065 cm	0.338 cm	0.151 cm
2328	0.061 cm	0.339 cm	0.151 cm
2329	0.063 cm	0.336 cm	0.151 cm
2330	0.059 cm	0.337 cm	0.15 cm
2331	0.061 cm	0.335 cm	0.15 cm
2332	0.057 cm	0.336 cm	0.149 cm
2333	0.059 cm	0.333 cm	0.149 cm
2334	0.056 cm	0.334 cm	0.148 cm
2335	0.058 cm	0.332 cm	0.148 cm
2336	0.06 cm	0.33 cm	0.149 cm
2337	0.061 cm	0.331 cm	0.149 cm
2338	0.062 cm	0.327 cm	0.149 cm
2339	0.063 cm	0.329 cm	0.149 cm
2340	0.064 cm	0.325 cm	0.149 cm
2341	0.065 cm	0.326 cm	0.149 cm
2342	0.062 cm	0.324 cm	0.148 cm
2343	0.064 cm	0.321 cm	0.148 cm
2344	0.066 cm	0.323 cm	0.148 cm
2345	0.063 cm	0.32 cm	0.147 cm
2346	0.065 cm	0.318 cm	0.147 cm
2347	0.066 cm	0.319 cm	0.148 cm
2348	0.064 cm	0.317 cm	0.146 cm
2349	0.066 cm	0.314 cm	0.146 cm
2350	0.067 cm	0.315 cm	0.147 cm
2351	0.065 cm	0.313 cm	0.145 cm
2352	0.067 cm	0.311 cm	0.144 cm
2353	0.068 cm	0.312 cm	0.145 cm
2354	0.066 cm	0.31 cm	0.143 cm
2355	0.068 cm	0.308 cm	0.143 cm
2356	0.069 cm	0.309 cm	0.144 cm
2357	0.067 cm	0.307 cm	0.141 cm
2358	0.069 cm	0.305 cm	0.141 cm
2359	0.069 cm	0.306 cm	0.142 cm
2360	0.068 cm	0.305 cm	0.139 cm
2361	0.069 cm	0.302 cm	0.138 cm
2362	0.07 cm	0.303 cm	0.14 cm
2363	0.071 cm	0.3 cm	0.138 cm
2364	0.072 cm	0.3 cm	0.139 cm
2365	0.072 cm	0.297 cm	0.137 cm
2366	0.073 cm	0.297 cm	0.138 cm
2367	0.074 cm	0.295 cm	0.135 cm
2368	0.075 cm	0.295 cm	0.137 cm
2369	0.077 cm	0.292 cm	0.134 cm
2370	0.077 cm	0.292 cm	0.135 cm
2371	0.079 cm	0.29 cm	0.132 cm
2372	0.08 cm	0.29 cm	0.133 cm
2373	0.081 cm	0.289 cm	0.13 cm
2374	0.082 cm	0.289 cm	0.131 cm
2375	0.084 cm	0.288 cm	0.128 cm
2376	0.085 cm	0.288 cm	0.13 cm
2377	0.086 cm	0.287 cm	0.126 cm
2378	0.087 cm	0.287 cm	0.127 cm
2379	0.088 cm	0.287 cm	0.124 cm
2380	0.089 cm	0.287 cm	0.125 cm
2381	0.09 cm	0.286 cm	0.122 cm
2382	0.091 cm	0.286 cm	0.123 cm
2383	0.089 cm	0.287 cm	0.12 cm
